create table Customers (
	CustomerID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Email VARCHAR(50),
	City VARCHAR(50),
	LinkedInSkill VARCHAR(50)
);
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (1, 'Betty', 'Spencer', 'bspencer0@istockphoto.com', 'Lawa-an', 'TDC3000');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (2, 'Lori', 'Carroll', 'lcarroll1@a8.net', 'Bijie', 'KVM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (3, 'Virginia', 'Robertson', 'vrobertson2@msn.com', 'Lyon', 'FDD');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (4, 'Sandra', 'Henry', 'shenry3@yolasite.com', 'Changsheng', 'Budgets');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (5, 'Ann', 'Hernandez', 'ahernandez4@army.mil', 'Pocokan Satu', 'KBOX');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (6, 'Dorothy', 'Cole', 'dcole5@yahoo.co.jp', 'Paris La Défense', 'Epic Systems');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (7, 'Katherine', 'Hicks', 'khicks6@rakuten.co.jp', 'Haodian', 'GUI');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (8, 'Theresa', 'Jones', 'tjones7@joomla.org', 'Williston', 'Outdoor Advertising');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (9, 'Margaret', 'Ellis', 'mellis8@taobao.com', 'Ad Dīs ash Sharqīyah', 'Transportation');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (10, 'Phyllis', 'Russell', 'prussell9@ustream.tv', 'Yingkeng', 'Energy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (11, 'Heather', 'Ferguson', 'hfergusona@earthlink.net', 'Ciomas', 'Time-efficient');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (12, 'Sarah', 'Peters', 'spetersb@altervista.org', 'Columbus', 'Home Health Agencies');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (13, 'Donna', 'Rice', 'dricec@github.com', 'Hương Sơn', 'Teamwork');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (14, 'Julie', 'Thomas', 'jthomasd@vistaprint.com', 'Zavet', 'Enterprise Risk Management');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (15, 'Jennifer', 'King', 'jkinge@trellian.com', 'Dikwa', 'Smoking Cessation');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (16, 'Kathryn', 'Ford', 'kfordf@sciencedaily.com', 'Navan', 'MCSA');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (17, 'Donna', 'George', 'dgeorgeg@oakley.com', 'Anda', 'CBP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (18, 'Carol', 'Thompson', 'cthompsonh@prweb.com', 'Xiangfeng', 'MS Axapta');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (19, 'Brenda', 'Perez', 'bperezi@drupal.org', 'Liudong', 'Global Mobility');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (20, 'Virginia', 'Fernandez', 'vfernandezj@latimes.com', 'Junik', 'SAP-SD');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (21, 'Jacqueline', 'Burke', 'jburkek@dell.com', 'Eskilstuna', 'SSD');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (22, 'Rachel', 'Fields', 'rfieldsl@devhub.com', 'Saint-Louis', 'Gypsum');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (23, 'Stephanie', 'Reynolds', 'sreynoldsm@narod.ru', 'Setro', 'Window Displays');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (24, 'Carolyn', 'Fowler', 'cfowlern@mac.com', 'Miaoyu', 'XMPP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (25, 'Robin', 'Baker', 'rbakero@sciencedirect.com', 'Les Coteaux', 'Cisco Call Manager');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (26, 'Sharon', 'Davis', 'sdavisp@google.nl', 'Arlington', 'After Effects');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (27, 'Amanda', 'James', 'ajamesq@yandex.ru', 'Ḩalḩūl', 'TFM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (28, 'Nicole', 'Andrews', 'nandrewsr@bigcartel.com', 'Lapachito', 'QFD');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (29, 'Patricia', 'Sanders', 'psanderss@photobucket.com', 'Hangou', 'Student Affairs');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (30, 'Kathryn', 'Alvarez', 'kalvarezt@loc.gov', 'Šentilj v Slov. Goricah', 'MLB');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (31, 'Debra', 'Wheeler', 'dwheeleru@eepurl.com', 'Magaria', 'Process Efficiency');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (32, 'Debra', 'Price', 'dpricev@topsy.com', 'Biryukove', 'MRM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (33, 'Helen', 'Garrett', 'hgarrettw@google.com', 'Staritsa', 'ICT');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (34, 'Sara', 'Kim', 'skimx@oracle.com', 'Lutun', 'NUnit');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (35, 'Shirley', 'Nichols', 'snicholsy@chronoengine.com', 'Sovetskaya', 'UWB');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (36, 'Sharon', 'Edwards', 'sedwardsz@a8.net', 'Esmoriz', 'FX Spot');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (37, 'Wanda', 'Dixon', 'wdixon10@berkeley.edu', 'Tamiso', 'XPlanner');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (38, 'Lois', 'Hansen', 'lhansen11@sogou.com', 'Kvasy', 'Omegamon');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (39, 'Janice', 'Lewis', 'jlewis12@printfriendly.com', 'Sui’an', 'DHTML');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (40, 'Andrea', 'Bryant', 'abryant13@businesswire.com', 'Pueblo Nuevo', 'Computer Hardware');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (41, 'Jessica', 'Little', 'jlittle14@dyndns.org', 'Nebug', 'OID');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (42, 'Debra', 'Patterson', 'dpatterson15@howstuffworks.com', 'Maromme', 'Nutritional Counseling');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (43, 'Emily', 'Peterson', 'epeterson16@zdnet.com', 'Rujewa', 'Order Fulfillment');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (44, 'Rose', 'Mills', 'rmills17@facebook.com', 'Großklein', 'International Political Economy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (45, 'Donna', 'Johnston', 'djohnston18@shareasale.com', 'Huayuan', 'PKCS');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (46, 'Wanda', 'Sanders', 'wsanders19@slideshare.net', 'Khlung', 'Java Applets');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (47, 'Janet', 'Medina', 'jmedina1a@soundcloud.com', 'Ampeleíes', 'Xsigo');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (48, 'Jean', 'Richards', 'jrichards1b@elpais.com', 'Saladas', 'Overhaul');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (49, 'Andrea', 'Harris', 'aharris1c@hexun.com', 'Lowotukan', 'Teamwork');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (50, 'Janice', 'Garza', 'jgarza1d@yellowpages.com', 'Huai’an', 'Editing');
