create table Customers (
	CustomerID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Email VARCHAR(50),
	City VARCHAR(50),
	CountryOfOrigin VARCHAR(50),
	MotherTongue VARCHAR(50)
);
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (1, 'Louis', 'Lynch', 'llynch0@youtube.com', 'Jermenovci', 'Serbia', 'Hiri Motu');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (2, 'Helen', 'Johnston', 'hjohnston1@ustream.tv', 'Bonthe', 'Sierra Leone', 'Gujarati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (3, 'Albert', 'Bradley', 'abradley2@privacy.gov.au', 'Sasaguri', 'Japan', 'Northern Sotho');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (4, 'Donald', 'Cooper', 'dcooper3@ucla.edu', 'Alpūrai', 'Pakistan', 'Assamese');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (5, 'Louise', 'Ortiz', 'lortiz4@cbslocal.com', 'Karanglincak', 'Indonesia', 'Marathi');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (6, 'Lori', 'Palmer', 'lpalmer5@mediafire.com', 'Funchalinho', 'Portugal', 'Belarusian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (7, 'Ralph', 'Carter', 'rcarter6@xing.com', 'Maketu', 'New Zealand', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (8, 'Martha', 'Boyd', 'mboyd7@xinhuanet.com', 'Xagmakajor', 'China', 'Macedonian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (9, 'Teresa', 'Patterson', 'tpatterson8@ning.com', 'Ambarita', 'Indonesia', 'Quechua');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (10, 'Lisa', 'Montgomery', 'lmontgomery9@arstechnica.com', 'Santa Lucía', 'Honduras', 'Pashto');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (11, 'Billy', 'Bennett', 'bbennetta@list-manage.com', 'Hamburg', 'Germany', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (12, 'Angela', 'Grant', 'agrantb@biblegateway.com', 'Calgary', 'Canada', 'Tamil');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (13, 'Sandra', 'Perez', 'sperezc@columbia.edu', 'Yancheng', 'China', 'Italian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (14, 'Paul', 'Ramos', 'pramosd@yahoo.co.jp', 'Dongguan', 'China', 'Mongolian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (15, 'Paul', 'Moore', 'pmooree@yellowbook.com', 'Shaxi', 'China', 'Italian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (16, 'Virginia', 'Mitchell', 'vmitchellf@senate.gov', 'Särö', 'Sweden', 'Pashto');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (17, 'Larry', 'Olson', 'lolsong@lulu.com', 'Twante', 'Myanmar', 'Yiddish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (18, 'Carl', 'Mendoza', 'cmendozah@ft.com', 'Tianxin', 'China', 'Swahili');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (19, 'Diane', 'Garcia', 'dgarciai@addtoany.com', 'Stratónion', 'Greece', 'Gagauz');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (20, 'Diane', 'Henderson', 'dhendersonj@free.fr', 'Tha Uthen', 'Thailand', 'Lao');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (21, 'Ashley', 'Simmons', 'asimmonsk@msu.edu', 'Belleville', 'Canada', 'Lao');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (22, 'Raymond', 'Ellis', 'rellisl@reference.com', 'Mpophomeni', 'South Africa', 'Dutch');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (23, 'Angela', 'Mason', 'amasonm@gmpg.org', 'Vantaa', 'Finland', 'Danish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (24, 'Aaron', 'Bishop', 'abishopn@dailymail.co.uk', 'Kibuku', 'Uganda', 'Irish Gaelic');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (25, 'Heather', 'Mendoza', 'hmendozao@wp.com', 'Tampa', 'United States', 'Latvian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (26, 'Sarah', 'Nichols', 'snicholsp@ucsd.edu', 'Bogorodsk', 'Russia', 'Malagasy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (27, 'Douglas', 'Nichols', 'dnicholsq@webs.com', 'Hannover', 'Germany', 'Romanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (28, 'Roger', 'Campbell', 'rcampbellr@dyndns.org', 'Taksimo', 'Russia', 'Lithuanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (29, 'Debra', 'Cox', 'dcoxs@statcounter.com', 'Shangfang', 'China', 'Fijian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (30, 'Fred', 'Ford', 'ffordt@fotki.com', 'Motegi', 'Japan', 'Tsonga');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (31, 'Mark', 'Howell', 'mhowellu@google.nl', 'Guhuai', 'China', 'Norwegian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (32, 'Barbara', 'Harris', 'bharrisv@ucoz.ru', 'Buniaga', 'Indonesia', 'Gagauz');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (33, 'Jerry', 'Torres', 'jtorresw@reuters.com', 'Panalanoy', 'Philippines', 'Macedonian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (34, 'Henry', 'Bryant', 'hbryantx@chron.com', 'Fuxi', 'China', 'Swedish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (35, 'Carl', 'Warren', 'cwarreny@usda.gov', 'Sukoanyar', 'Indonesia', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (36, 'George', 'Thomas', 'gthomasz@sbwire.com', 'Narawayong', 'Indonesia', 'West Frisian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (37, 'Helen', 'Gibson', 'hgibson10@latimes.com', 'Kotes', 'Indonesia', 'Persian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (38, 'Joe', 'George', 'jgeorge11@edublogs.org', 'Coulommiers', 'France', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (39, 'Billy', 'Lane', 'blane12@trellian.com', 'Nizhniy Ufaley', 'Russia', 'Tsonga');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (40, 'Joseph', 'Riley', 'jriley13@china.com.cn', 'Strážná', 'Czech Republic', 'Luxembourgish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (41, 'Eric', 'Reed', 'ereed14@imageshack.us', 'Jianfeng', 'China', 'Somali');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (42, 'Edward', 'Jordan', 'ejordan15@ted.com', 'São José do Rio Preto', 'Brazil', 'Arabic');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (43, 'Evelyn', 'Lynch', 'elynch16@ft.com', 'Douentza', 'Mali', 'Sotho');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (44, 'Karen', 'Howard', 'khoward17@yahoo.com', 'Pinheiral', 'Portugal', 'French');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (45, 'Gregory', 'Stevens', 'gstevens18@arstechnica.com', 'Shangtianba', 'China', 'Khmer');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (46, 'Annie', 'Hamilton', 'ahamilton19@hhs.gov', 'Chaiyo', 'Thailand', 'Bislama');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (47, 'Sandra', 'Pierce', 'spierce1a@topsy.com', 'Cantaura', 'Venezuela', 'Dhivehi');
