create table Customers (
	ClientID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Smartphone VARCHAR(6),
	Color VARCHAR(50),
	Facebook_Usage VARCHAR(50),
	Job_Title VARCHAR(50),
	Foreign_Language VARCHAR(50),
	State VARCHAR(50)
);
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (1, 'Norma', 'Stephens', 'HTC', 'Violet', 'Monthly', 'Human Resources Manager', 'Kashmiri', 'West Virginia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (2, 'Mary', 'Ward', 'IPhone', 'Crimson', 'Often', 'Automation Specialist I', 'Swati', 'Illinois');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (3, 'Carol', 'Greene', 'IPhone', 'Maroon', 'Yearly', 'Marketing Manager', 'Dhivehi', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (4, 'Sharon', 'Chavez', 'HTC', 'Aquamarine', 'Weekly', 'Accountant II', 'Fijian', 'South Carolina');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (5, 'Susan', 'Morales', 'HTC', 'Khaki', 'Yearly', 'Professor', 'Belarusian', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (6, 'Susan', 'Walker', 'LG', 'Indigo', 'Often', 'Analog Circuit Design manager', 'Irish Gaelic', 'Kentucky');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (7, 'Wanda', 'Cox', 'Nexus', 'Khaki', 'Seldom', 'Help Desk Technician', 'Hindi', 'North Carolina');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (8, 'Joyce', 'Peters', 'IPhone', 'Crimson', 'Weekly', 'Product Engineer', 'Sotho', 'Massachusetts');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (9, 'Tina', 'Romero', 'Note', 'Yellow', 'Never', 'Analog Circuit Design manager', 'Gagauz', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (10, 'Lois', 'Lynch', 'Note', 'Maroon', 'Never', 'GIS Technical Architect', 'Belarusian', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (11, 'Kelly', 'Burns', 'Nexus', 'Teal', 'Seldom', 'Software Test Engineer II', 'Gagauz', 'Pennsylvania');
